Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Moisture,Standard Deviation Moisture,Min Moisture,Max Moisture,Residual Moisture,Leverage Moisture,Ref Moisture,TW,Ref TW,Oil0%,Standard Deviation Oil0%,Min Oil0%,Max Oil0%,Residual Oil0%,Leverage Oil0%,Ref Oil0%
11/20/2024 2:37:39 PM,Rapeseed I,60073681 RA,Normal,CE74_GP_2024_SC_Gr,,Infratec,91915904,5.4,0.273,5.08,6.019,0,0,,,,49.19,0.603,48.079,49.929,0,0,
11/20/2024 2:41:57 PM,Rapeseed I,60073681 RA,Normal,CE43_GP_2024_SC_Gr,,Infratec,91915904,5.73,0.16,5.427,6,0,0,,,,49.79,0.859,47.477,50.369,0,0,
11/20/2024 2:46:04 PM,Rapeseed I,60073681 RA,Normal,CE30_GP_2024_SC_Gr,,Infratec,91915904,5.98,0.335,5.593,6.648,0,0,,,,44.43,0.857,42.965,45.731,0,0,
11/20/2024 2:49:26 PM,Rapeseed I,60073681 RA,Normal,CE39_GP_2024_SC_Gr,,Infratec,91915904,4.37,0.096,4.176,4.476,0,1,,,,35,0.39,34.161,35.55,0,0,
11/20/2024 2:54:24 PM,Rapeseed I,60073681 RA,Normal,CE51_GP_2024_SC_Gr,,Infratec,91915904,5.59,0.24,5.009,5.848,0,0,,,,47.89,0.921,46.282,49.203,0,0,
11/20/2024 2:58:17 PM,Rapeseed I,60073681 RA,Normal,CE10_GP_2024_SC_Gr,,Infratec,91915904,5.98,0.347,5.588,6.623,0,0,,,,41.81,0.779,40.802,43.284,0,0,
11/20/2024 3:02:16 PM,Rapeseed I,60073681 RA,Normal,CE29_GP_2024_SC_Gr,,Infratec,91915904,5.9,0.369,5.274,6.602,0,0,,,,46.06,0.592,45.02,47.007,0,0,
11/21/2024 7:13:36 AM,Rapeseed I,60073681 RA,Normal,CE76_GP_2024_SC_Gr,,Infratec,91915904,5.77,0.25,5.406,6.164,0,0,,,,48.61,0.847,47.36,50.108,0,0,
11/21/2024 7:20:57 AM,Rapeseed I,60073681 RA,Normal,CE96_GP_2024_SC_Gr,,Infratec,91915904,4.95,0.15,4.735,5.214,0,0,,,,46.05,0.649,44.982,46.974,0,0,
11/21/2024 7:24:48 AM,Rapeseed I,60073681 RA,Normal,CE54_GP_2024_SC_Gr,,Infratec,91915904,5.31,0.177,5,5.606,0,0,,,,48.6,0.556,47.977,49.587,0,0,
11/21/2024 7:30:44 AM,Rapeseed I,60073681 RA,Normal,CE12_GP_2024_SC_Gr,,Infratec,91915904,4.84,0.17,4.651,5.22,0,0,,,,41.71,0.664,40.189,42.353,0,0,
11/21/2024 7:35:35 AM,Rapeseed I,60073681 RA,Normal,CE26_GP_2024_SC_Gr,,Infratec,91915904,5.56,0.232,5.078,5.916,0,0,,,,47,0.646,46.178,48.134,0,0,
11/21/2024 7:40:47 AM,Rapeseed I,60073681 RA,Normal,CE55_GP_2024_SC_Gr,,Infratec,91915904,5.38,0.126,5.132,5.613,0,0,,,,47.75,0.681,46.551,48.892,0,0,
11/21/2024 7:46:20 AM,Rapeseed I,60073681 RA,Normal,CE25_GP_2024_SC_Gr,,Infratec,91915904,5.36,0.16,5.147,5.566,0,0,,,,50.62,0.615,49.64,51.339,0,0,
11/21/2024 8:01:22 AM,Rapeseed I,60073681 RA,Normal,CW547_GP_2024_SC_Gr,,Infratec,91915904,5.66,0.241,5.465,6.165,0,0,,,,46.57,0.775,45.178,47.537,0,0,
11/21/2024 8:05:52 AM,Rapeseed I,60073681 RA,Normal,CW475_GP_2024_SC_Gr,,Infratec,91915904,5.9,0.389,5.052,6.397,0,0,,,,47.78,0.537,46.853,48.453,0,0,
11/22/2024 1:32:22 PM,Rapeseed I,60073681 RA,Normal,,,Infratec,91915904,,,,,,,,,,,,,,,,
11/22/2024 1:43:42 PM,Rapeseed I,60073681 RA,Normal,CE102_GP_2024_SC_Gr,,Infratec,91915904,4.93,0.226,4.519,5.251,0,0,,,,48.7,0.614,47.875,49.409,0,0,
11/22/2024 1:45:57 PM,Rapeseed I,60073681 RA,Normal,CE156_GP_2024_SC_Gr,,Infratec,91915904,5.15,0.235,4.747,5.45,0,0,,,,49.28,0.541,48.662,50.228,0,0,
