Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture
11/13/2023 1:06:16 PM,Field Peas II,60073677 PE,Normal,CE191_GP_2023_WP_Gr,,Infratec,91915904,21.60,0.00,0.00,10.35,0.00,0.00
11/13/2023 1:07:42 PM,Field Peas II,60073677 PE,Normal,CE200_GP_2023_WP_Gr,,Infratec,91915904,21.45,0.00,0.00,10.50,0.00,0.00
11/13/2023 1:09:00 PM,Field Peas II,60073677 PE,Normal,CE190_GP_2023_WP_Gr,,Infratec,91915904,20.95,0.00,0.00,10.52,0.00,0.00
11/13/2023 1:10:49 PM,Field Peas II,60073677 PE,Normal,CE192_GP_2023_WP_Gr,,Infratec,91915904,21.65,0.00,0.00,11.01,0.00,0.00
11/13/2023 1:12:34 PM,Field Peas II,60073677 PE,Normal,CE196_GP_2023_WP_Gr,,Infratec,91915904,23.52,0.00,0.00,10.28,0.00,0.00
11/13/2023 1:14:22 PM,Field Peas II,60073677 PE,Normal,CE197_GP_2023_WP_Gr,,Infratec,91915904,20.30,0.00,0.00,9.61,0.00,0.00
11/13/2023 1:16:40 PM,Field Peas II,60073677 PE,Normal,CE194_GP_2023_WP_Gr,,Infratec,91915904,20.82,0.00,0.00,10.30,0.00,0.00
11/13/2023 1:18:28 PM,Field Peas II,60073677 PE,Normal,CE199_GP_2023_WP_Gr,,Infratec,91915904,21.76,0.00,0.00,8.97,0.00,0.00
11/13/2023 1:20:18 PM,Field Peas II,60073677 PE,Normal,CE201_GP_2023_WP_Gr,,Infratec,91915904,21.72,0.00,0.00,9.90,0.00,0.00
11/13/2023 1:22:27 PM,Field Peas II,60073677 PE,Normal,CE193_GP_2023_WP_Gr,,Infratec,91915904,26.49,0.00,0.00,10.54,0.00,0.00
11/13/2023 1:23:52 PM,Field Peas II,60073677 PE,Normal,CE170_GP_2023_WP_Gr,,Infratec,91915904,20.89,0.00,0.00,10.00,0.00,0.00
11/13/2023 1:25:49 PM,Field Peas II,60073677 PE,Normal,CE180_GP_2023_WP_Gr,,Infratec,91915904,20.56,0.00,0.00,10.66,0.00,0.00
11/13/2023 1:27:49 PM,Field Peas II,60073677 PE,Normal,CE175_GP_2023_WP_Gr,,Infratec,91915904,22.55,0.00,0.00,10.86,0.00,0.00
11/13/2023 1:29:22 PM,Field Peas II,60073677 PE,Normal,CE183_GP_2023_WP_Gr,,Infratec,91915904,22.46,1.00,0.00,10.61,0.00,0.00
11/13/2023 1:31:58 PM,Field Peas II,60073677 PE,Normal,CE174_GP_2023_WP_Gr,,Infratec,91915904,22.67,0.00,0.00,8.67,0.00,0.00
11/13/2023 1:33:31 PM,Field Peas II,60073677 PE,Normal,CE178_GP_2023_WP_Gr,,Infratec,91915904,23.09,0.00,0.00,10.78,0.00,0.00
11/13/2023 1:34:47 PM,Field Peas II,60073677 PE,Normal,CE179_GP_2023_WP_Gr,,Infratec,91915904,24.40,0.00,0.00,10.96,0.00,0.00
11/13/2023 1:36:02 PM,Field Peas II,60073677 PE,Normal,CE189_GP_2023_WP_Gr,,Infratec,91915904,20.93,0.00,0.00,10.43,0.00,0.00
11/13/2023 1:37:48 PM,Field Peas II,60073677 PE,Normal,CE188_GP_2023_WP_Gr,,Infratec,91915904,21.18,0.00,0.00,10.80,0.00,0.00
11/13/2023 1:39:16 PM,Field Peas II,60073677 PE,Normal,CE176_GP_2023_WP_Gr,,Infratec,91915904,22.77,0.00,0.00,11.05,0.00,0.00
11/13/2023 1:40:58 PM,Field Peas II,60073677 PE,Normal,CE177_GP_2023_WP_Gr,,Infratec,91915904,22.94,0.00,0.00,10.95,0.00,0.00
11/13/2023 1:42:37 PM,Field Peas II,60073677 PE,Normal,CE181_GP_2023_WP_Gr,,Infratec,91915904,23.35,0.00,0.00,10.49,0.00,0.00
11/13/2023 1:44:10 PM,Field Peas II,60073677 PE,Normal,CE186_GP_2023_WP_Gr,,Infratec,91915904,21.19,1.00,0.00,10.66,0.00,0.00
11/13/2023 1:45:47 PM,Field Peas II,60073677 PE,Normal,CE173_GP_2023_WP_Gr,,Infratec,91915904,21.47,0.00,0.00,9.92,0.00,0.00
11/13/2023 1:47:15 PM,Field Peas II,60073677 PE,Normal,CE171_GP_2023_WP_Gr,,Infratec,91915904,20.56,0.00,0.00,10.14,0.00,0.00
11/13/2023 1:48:59 PM,Field Peas II,60073677 PE,Normal,CE182_GP_2023_WP_Gr,,Infratec,91915904,21.57,0.00,0.00,10.80,0.00,0.00
11/13/2023 1:50:59 PM,Field Peas II,60073677 PE,Normal,CE187_GP_2023_WP_Gr,,Infratec,91915904,20.72,0.00,0.00,10.38,0.00,0.00
11/13/2023 1:52:52 PM,Field Peas II,60073677 PE,Normal,CE185_GP_2023_WP_Gr,,Infratec,91915904,22.01,0.00,0.00,10.85,0.00,0.00
11/13/2023 1:54:48 PM,Field Peas II,60073677 PE,Normal,CE172_GP_2023_WP_Gr,,Infratec,91915904,20.94,0.00,0.00,10.56,0.00,0.00
11/13/2023 1:58:58 PM,Field Peas II,60073677 PE,Normal,CE184_GP_2023_WP_Gr,,Infratec,91915904,21.90,0.00,0.00,10.60,0.00,0.00
