Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture,Starch0%,Leverage Starch0%,Residual Starch0%,Gluten0%,Leverage Gluten0%,Residual Gluten0%,Zeleny0%,Leverage Zeleny0%,Residual Zeleny0%,TW
11/6/2023 2:58:22 PM,Wheat II,60073697 WH,Normal,8A_3_Lime_O_2023_SW_Gr,,Infratec,91915904,10.07,0.00,0.00,11.09,0.00,0.00,73.42,0.00,0.00,25.75,0.00,0.00,34.50,0.00,0.00,61.58
11/6/2023 2:59:41 PM,Wheat II,60073697 WH,Normal,8A_2_Lime_O_2023_SW_Gr,,Infratec,91915904,10.78,0.00,0.00,11.56,0.00,0.00,72.65,0.00,0.00,27.12,0.00,0.00,38.25,0.00,0.00,60.73
11/6/2023 3:01:19 PM,Wheat II,60073697 WH,Normal,8A_2_Lime_N_2023_SW_Gr,,Infratec,91915904,10.42,0.00,0.00,10.67,0.00,0.00,73.18,0.00,0.00,27.37,0.00,0.00,36.08,0.00,0.00,60.19
11/6/2023 3:02:52 PM,Wheat II,60073697 WH,Normal,8A_3_Lime_N_2023_SW_Gr,,Infratec,91915904,10.91,0.00,0.00,10.68,0.00,0.00,72.70,0.00,0.00,28.27,0.00,0.00,38.73,0.00,0.00,59.83
11/6/2023 3:04:47 PM,Wheat II,60073697 WH,Normal,8A_1_Lime_N_2023_SW_Gr,,Infratec,91915904,10.49,0.00,0.00,11.09,0.00,0.00,72.70,0.00,0.00,26.89,0.00,0.00,36.25,0.00,0.00,60.72
11/6/2023 3:06:28 PM,Wheat II,60073697 WH,Normal,8A_1_Lime_O_2023_SW_Gr,,Infratec,91915904,11.34,0.00,0.00,10.63,0.00,0.00,72.47,0.00,0.00,29.42,0.00,0.00,40.04,0.00,0.00,62.03
11/6/2023 3:08:05 PM,Wheat II,60073697 WH,Normal,8A_4_Lime_O_2023_SW_Gr,,Infratec,91915904,10.31,0.00,0.00,11.02,0.00,0.00,73.07,0.00,0.00,26.02,0.00,0.00,35.44,0.00,0.00,61.51
11/6/2023 3:24:22 PM,Wheat II,60073697 WH,Normal,8B_1_Lime_O_2023_SW_Gr,,Infratec,91915904,11.26,0.00,0.00,10.94,0.00,0.00,72.32,0.00,0.00,29.07,0.00,0.00,40.14,0.00,0.00,62.86
11/6/2023 3:26:08 PM,Wheat II,60073697 WH,Normal,8B_1_Lime_N_2023_SW_Gr,,Infratec,91915904,10.84,0.00,0.00,10.88,0.00,0.00,72.89,0.00,0.00,28.23,0.00,0.00,38.06,0.00,0.00,63.10
11/6/2023 3:27:58 PM,Wheat II,60073697 WH,Normal,8B_3_Lime_O_2023_SW_Gr,,Infratec,91915904,9.25,0.00,0.00,11.39,0.00,0.00,74.07,0.00,0.00,23.95,0.00,0.00,30.40,0.00,0.00,61.46
11/6/2023 3:29:54 PM,Wheat II,60073697 WH,Normal,8B_4_Lime_O_2023_SW_Gr,,Infratec,91915904,9.98,0.00,0.00,11.33,0.00,0.00,73.68,0.00,0.00,25.66,0.00,0.00,33.88,0.00,0.00,61.80
